title,url
AI-generated sad girl with piano performs the text of the MIT License (suno.com),https://suno.com/song/da6d4a83-1001-4694-8c28-648a6e8bad0a/
End of the Line? Saudi Arabia to scale back plans for desert megacity (theguardian.com),https://www.theguardian.com/world/2024/apr/10/the-line-saudi-arabia-scaling-back-plans-105-mile-long-desert-megacity-crown-prince
Going in circles without a real-time clock (rachelbythebay.com),https://rachelbythebay.com/w/2024/04/10/rtc/
Aider: AI pair programming in your terminal (github.com/paul-gauthier),https://github.com/paul-gauthier/aider
ESA Satellites to Test Razor-Sharp Formation Flying (ieee.org),https://spectrum.ieee.org/satellite-constellation-formation-flying-esa
"Amazon owes $525M in cloud-storage patent fight, US jury says (reuters.com)",https://www.reuters.com/legal/amazon-owes-525-mln-cloud-storage-patent-fight-us-jury-says-2024-04-11/
Continuous Social Media Scrolling Negatively Impacts Eye Movement (optometryadvisor.com),https://www.optometryadvisor.com/home/meetings/aaopt-2021/social-media-scrolling-detrimental-to-ocular-health/
Oh My Git: An open source game about learning Git (ohmygit.org),https://ohmygit.org/
Embed Crystal code directly in Ruby (github.com/wouterken),https://github.com/wouterken/crystalruby
Untergunther â€“ Restoration of the Pantheon Clock (urban-resources.net),https://urban-resources.net/untergunther.html
